id,name,nameEn,origin,originEn,genre,profile,profileEn,image,websiteUrl,snsTwitter,snsInstagram,snsYoutube,isFeatured
,田井中 成登,Shigeto Tainaka,,,music,シンガー・ソングライター,,,https://shigepisan.jimdofree.com,,https://www.instagram.com/shigepisan,https://youtube.com/@shigepisan,
,英 諭花,Akira Yuuka,,,music,"亡き家族が立てなかったステージに立つために発足した大阪発の音楽アーティスト。メッセージが詰め込まれた楽曲が特徴。
ジャンルレスで様々な楽曲を継続展開中。",,,,,https://www.instagram.com/akira.yuuka.since2024,,
,The Boomerang Loops,The Boomerang Loops,,,music,"2026年結成、1MC(SAM STUDIO)1Singer(serena)の2人組男女ソウルヒップホップユニット。
サンプラーを使い、自身で演奏、アレンジメント、ライブパフォーマンスができる、一見物珍しいユニット。
大阪を拠点に関西近郊でライブ活動中。
2026年8月中旬に1st albumリリース決定。",,,,,https://www.instagram.com/sam_studio_osaka,,
,the ANGELSTAR$,the ANGELSTAR$,,,music,"the ANGELSTAR$（ジ・エンジェルスターズ）
the ANGELSTAR$は、日本を拠点に世界へ向けて活動する3人組ボーカルユニットです。
R&B、ソウル、ゴスペル、ポップスをルーツに、力強いハーモニーと感情豊かなパフォーマンスで、一人ひとりの「自分らしさ」を肯定する音楽を届けています。
「違いは強さになる」というメッセージを軸に、ジェンダーや国籍、文化の枠を超え、誰もがありのままの自分で輝ける世界を目指しています。
音楽だけでなく、ファッションやアート、ストーリーテリングも表現の一部とし、日本とニューヨークをつなぐ新しいカルチャーを発信するグローバルアーティストとして挑戦を続けています。",,,,,https://www.instagram.com/the_angelstars/,,
,特定非営利活動法人 門真フィルムコミッション,KADOMA Film Commission,,,music,門真国際映画祭や日本コメディ映画祭などの映画祭事業や、バルセロナ国際映画祭外国語映画部門最優秀作品賞受賞作品「門真市ゾンビ人材センター」などの映画制作事業、ご当地キャラクター「ジェイキー と ずぼらちゃん」などを企画運営している特定非営利活動法人 門真フィルムコミッションです。,,,https://kadoma-film.com/,https://twitter.com/@Jakie_Zubora,https://www.instagram.com/jakie_zubora/,,
,KishiTomo,KishiTomo,,,music,"ター・ボーカル ”Kishimoto”＆ベース・ボーカル ”Tomoko” のアコースティックデュオです。
関西の音楽フェスやライブハウスで演奏しています。
誰もが一度は聴いたことがあるジャズやブルースのスタンダードナンバーを楽しいトークを織り交ぜながらお届けします♪",,,https://ameblo.jp/kishitomo-duo,https://x.com/KishiTomo_duo,https://www.instagram.com/kishitomo_duo,https://www.youtube.com/@kishitomo,
,zoguno,zoguno,,,music,"🌍 zoguno プレミアム・プロフィール
—— 最小の編成で、最大の景色を描く ——
溝口サチコ（ロン）と宇野維人（海）による、多重録音のような緻密さとライブの熱量を共存させる音楽ユニット。
【Member】
• Ron / 溝口サチコ (Piano, Synth, Accordion / Sound Design)
空間を塗り替えるサウンドクリエイター。アンビエントな残響とヴィンテージな質感を自在に操り、その場所の空気を取り込んだ「音の風景」をリアルタイムで構築する。
• Umi / 宇野維人(まさと) (Drums)
精緻なビートを刻むリズムの構築者。最小限のドラムセットから生み出される、打ち込みと生演奏の境界を越えたダイナミックなグルーヴで、zogunoの重厚な低域を支える。
【Performance Style】
シーンや会場の響きに合わせ、対照的な2つの形態で音を紡ぐ。
• ◆ ジャバドラ Ver. (Accordion & Minimal Drums)
「蛇腹（アコーディオン）」と「最小限のドラムセット」による、究極にオーガニックで濃密なアンサンブル。カフェやストリート、ギャラリーなど、空気の震えが直接届く空間で、観客と呼吸を共にしながら幻想的な景色を描き出す。
• ◆ ピアドラ Ver. (Piano/Synth & Full Drums)
「ピアノ・シンセサイザー」と「フルドラムセット」による、ダイナミックで重層的なサウンド。ジャズフェスやライブハウスなどの広大なステージにおいて、ヴィンテージな音像と電子音、そして生楽器のエネルギーを融合させ、聴く者を圧倒的な音の深淵へと誘う。
【Concept】
ユニット名は互いの名「mizoguchi」と「uno」を融合させたもの。
ジャズの即興性、エレクトロニカの緻密さ、そしてアコースティックの温もり。ジャンルという枠を超え、世界中のどんなシーンにも溶け込み、かつその場の空気を一変させる唯一無二のパフォーマンスを展開する。
🌍 zoguno Global Profile
—— Minimalist Ensemble, Cinematic Landscapes ——
zoguno is a musical unit featuring Ron (Sachiko Mizoguchi) and Umi (Masato Uno), blending intricate studio-quality precision with the raw energy of live performance.
【Members】
• Ron / Sachiko Mizoguchi (Piano, Synth, Accordion / Sound Design)
A sound creator who reshapes spaces. Using ambient reverberations and vintage textures, Ron constructs ""sonic landscapes"" in real-time, breathing the local atmosphere into every note.
• Umi / Masato Uno (Drums)
An architect of rhythm. Using a minimalist drum kit, Umi generates dynamic grooves that blur the line between organic drumming and digital precision, grounding zoguno with a powerful, deep low-end.
【Performance Styles】
zoguno adapts to each venue’s acoustics through two distinct, contrasting setups:
• ◆ Java-Dra Ver. (Accordion & Minimal Drums)
The ultimate organic ensemble. A dense, intimate dialogue between the ""bellows"" (Accordion) and a stripped-down drum kit. Perfect for cafes, galleries, and streets—where the vibration of the air touches the audience directly, creating a shared, breathing experience.
•",,,,,https://www.instagram.com/zoguno________,,
,The Decameron Project,The Decameron Project ippungeki,,,theater,"主宰マタムラは マタムラは、海外の舞台で通用するグローバルな俳優の育成を目指しています。「英語教育×演劇」を軸に、インプロ（即興劇）、シェイクスピア、そして1分間演劇までをトータルに指導するオールマイティーな活動を展開しています。
アメリカの第一線で活躍する俳優、演出家、劇作家との深い交流ネットワークを強みに、常に国際基準のクリエイティブな作品を発信。今回の大阪フリンジでは、凝縮された「1分間演劇」のステージに乗せてお届けします！",,,https://www.amelody.org/,,https://www.instagram.com/kazmatamura/?hl=ja,https://www.youtube.com/live/uKfwahuKaZo,
,マリーン3世,marine333ird,,,music,"大阪を拠点に活動するシンガーソングライター・マリーン3世と申します。
恋愛や日常の感情をキャッチーなメロディーと親しみやすい歌詞で曲を表現しています。
YouTubeでの楽曲発信に加え、オリジナル曲を9曲リリース。
2025年秋・2026年春には万博ロハスフェスタへ出演し、ライブ活動の場を広げている。",,,,,https://www.instagram.com/marine333ird,https://youtube.com/@marine333ird,
,Peeps leafs,Peeps leafs,,,music,"メンバーそれぞれがHIP HOPやゴスペル、レゲエ、ボサノバ、ジャズ等
色々なジャンルで活動しているアーティスト達が集い表現の場として
HIP HOPを主体とし結成されたBAND。
ボーカルの声をはじめ
見たひとは必ず圧倒されるほどの魂を感じるHIP HOPサウンド。
唯一無二の存在「Peeps Leafs」",,,,,https://www.instagram.com/peeps.leafs?igsh=Z3E3ZmhqNXBtbHVm,,
